#si 50
#nm 201
energy=333;biomass=16300;fitness=18300;lowestEnergy=0;highestEnergy=1047;meanEnergy=283.174;meanBiomass=8053.943;nGenes=28;nSites=32
energy=340;biomass=24280;fitness=26280;lowestEnergy=0;highestEnergy=1015;meanEnergy=332.200;meanBiomass=11830.870;nGenes=31;nSites=48
energy=441;biomass=28580;fitness=30580;lowestEnergy=0;highestEnergy=988;meanEnergy=343.014;meanBiomass=14517.286;nGenes=31;nSites=42
energy=483;biomass=33760;fitness=35760;lowestEnergy=0;highestEnergy=1022;meanEnergy=344.321;meanBiomass=17755.052;nGenes=31;nSites=43
energy=149;biomass=36560;fitness=38560;lowestEnergy=0;highestEnergy=1018;meanEnergy=316.583;meanBiomass=17523.938;nGenes=30;nSites=47
energy=298;biomass=40520;fitness=42520;lowestEnergy=0;highestEnergy=1013;meanEnergy=333.108;meanBiomass=20134.393;nGenes=31;nSites=58
energy=364;biomass=39710;fitness=41710;lowestEnergy=0;highestEnergy=1109;meanEnergy=361.411;meanBiomass=19498.696;nGenes=31;nSites=53
energy=519;biomass=12560;fitness=14560;lowestEnergy=0;highestEnergy=1038;meanEnergy=313.809;meanBiomass=6133.148;nGenes=30;nSites=49
energy=469;biomass=13260;fitness=15260;lowestEnergy=0;highestEnergy=1048;meanEnergy=333.842;meanBiomass=6410.565;nGenes=32;nSites=54
energy=360;biomass=25070;fitness=27070;lowestEnergy=0;highestEnergy=1007;meanEnergy=300.286;meanBiomass=12619.175;nGenes=29;nSites=58
energy=375;biomass=27010;fitness=29010;lowestEnergy=0;highestEnergy=1120;meanEnergy=297.383;meanBiomass=14201.949;nGenes=29;nSites=71
energy=360;biomass=2810;fitness=4810;lowestEnergy=0;highestEnergy=1010;meanEnergy=311.099;meanBiomass=1335.042;nGenes=30;nSites=59
energy=382;biomass=11080;fitness=13080;lowestEnergy=0;highestEnergy=990;meanEnergy=291.861;meanBiomass=5829.060;nGenes=32;nSites=70
energy=326;biomass=10870;fitness=12870;lowestEnergy=0;highestEnergy=994;meanEnergy=310.273;meanBiomass=5500.350;nGenes=29;nSites=63
energy=405;biomass=18780;fitness=20780;lowestEnergy=0;highestEnergy=986;meanEnergy=288.410;meanBiomass=9219.700;nGenes=31;nSites=74
energy=395;biomass=28860;fitness=30860;lowestEnergy=0;highestEnergy=1007;meanEnergy=321.395;meanBiomass=14115.277;nGenes=33;nSites=63
energy=377;biomass=31910;fitness=33910;lowestEnergy=0;highestEnergy=1063;meanEnergy=307.414;meanBiomass=16456.927;nGenes=31;nSites=82
energy=335;biomass=25730;fitness=27730;lowestEnergy=0;highestEnergy=990;meanEnergy=289.120;meanBiomass=13237.731;nGenes=32;nSites=88
energy=385;biomass=31300;fitness=33300;lowestEnergy=0;highestEnergy=980;meanEnergy=296.934;meanBiomass=16119.535;nGenes=30;nSites=83
energy=365;biomass=53260;fitness=55260;lowestEnergy=0;highestEnergy=973;meanEnergy=290.456;meanBiomass=27574.308;nGenes=31;nSites=74
energy=347;biomass=63210;fitness=65210;lowestEnergy=0;highestEnergy=998;meanEnergy=292.618;meanBiomass=32118.831;nGenes=29;nSites=56
energy=332;biomass=61780;fitness=63780;lowestEnergy=0;highestEnergy=1003;meanEnergy=289.398;meanBiomass=31089.415;nGenes=27;nSites=49
