#si 50
#nm 101
energy=368;biomass=8950;fitness=10950;lowestEnergy=0;highestEnergy=1017;meanEnergy=295.289;meanBiomass=5241.684;nGenes=19;nSites=45
energy=325;biomass=9250;fitness=11250;lowestEnergy=0;highestEnergy=990;meanEnergy=313.034;meanBiomass=5052.389;nGenes=20;nSites=53
energy=208;biomass=8450;fitness=10450;lowestEnergy=0;highestEnergy=1018;meanEnergy=273.121;meanBiomass=4791.104;nGenes=19;nSites=35
energy=260;biomass=11590;fitness=13590;lowestEnergy=0;highestEnergy=995;meanEnergy=276.095;meanBiomass=5482.224;nGenes=19;nSites=42
energy=347;biomass=8680;fitness=10680;lowestEnergy=0;highestEnergy=1049;meanEnergy=284.431;meanBiomass=4301.564;nGenes=20;nSites=53
energy=331;biomass=8460;fitness=10460;lowestEnergy=0;highestEnergy=981;meanEnergy=316.911;meanBiomass=4339.120;nGenes=19;nSites=36
energy=192;biomass=11460;fitness=13460;lowestEnergy=0;highestEnergy=992;meanEnergy=263.759;meanBiomass=5462.609;nGenes=20;nSites=37
energy=338;biomass=7950;fitness=9950;lowestEnergy=0;highestEnergy=1015;meanEnergy=301.827;meanBiomass=4299.735;nGenes=19;nSites=45
energy=350;biomass=9180;fitness=11180;lowestEnergy=0;highestEnergy=990;meanEnergy=267.554;meanBiomass=4713.518;nGenes=19;nSites=36
energy=199;biomass=8700;fitness=10700;lowestEnergy=0;highestEnergy=993;meanEnergy=272.311;meanBiomass=4299.355;nGenes=19;nSites=47
energy=357;biomass=11300;fitness=13300;lowestEnergy=0;highestEnergy=995;meanEnergy=307.173;meanBiomass=5405.347;nGenes=20;nSites=43
energy=378;biomass=7600;fitness=9600;lowestEnergy=0;highestEnergy=1004;meanEnergy=304.839;meanBiomass=4137.881;nGenes=19;nSites=37
energy=215;biomass=9060;fitness=11060;lowestEnergy=0;highestEnergy=992;meanEnergy=255.910;meanBiomass=4665.057;nGenes=20;nSites=32
energy=347;biomass=7280;fitness=9280;lowestEnergy=0;highestEnergy=998;meanEnergy=300.044;meanBiomass=4125.717;nGenes=20;nSites=25
